restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,categoria_preco,faixa_preco,latitude,longitude,fonte
19493577,FraFre GastroBar,"Puerto Ayora Seymour Av. Seymour 141 y Adolfo Hanny frente a Bodega Blanca, 200350 Equador",Santa Cruz ,5.0,39,$$ - $$$,R$ 64 - R$ 133,-0.7422749996185303,-90.31148529052734,https://www.tripadvisor.com.br/Restaurant_Review-g297532-d19493577-Reviews-FraFre_GastroBar-Santa_Cruz_Galapagos_Islands.html
1925853,Il Giardino,"Charles Darwin y Charles Binford, Puerto Ayora 200350 Equador",Santa Cruz ,4.0,1725,$$ - $$$,indef,-0.744047999382019,-90.31229400634766,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d1925853-Reviews-Il_Giardino-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
7228474,Rancho El Manzanillo,"Main Road, 200350 Equador",Santa Cruz ,4.5,75,$$ - $$$,indef,-0.6966879963874817,-90.40193176269533,https://www.tripadvisor.com.br/Restaurant_Review-g297532-d7228474-Reviews-Rancho_El_Manzanillo-Santa_Cruz_Galapagos_Islands.html
5523397,EL DESCANSO MARINERO,"Calle Alsacio Northia y Espanola, Puerto Baquerizo Moreno 200150 Equador",San Cristobal ,4.0,362,$$ - $$$,indef,-0.9014400243759156,-89.61000061035156,https://www.tripadvisor.com.br/Restaurant_Review-g297531-d5523397-Reviews-EL_DESCANSO_MARINERO-Puerto_Baquerizo_Moreno_San_Cristobal_Galapagos_Islands.html
2314356,Cafe Hernan,"Av. Baltra y Charles Darwin, Puerto Ayora 200350 Equador",Santa Cruz ,4.0,475,$$ - $$$,indef,-0.7469609975814819,-90.31336212158205,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d2314356-Reviews-Cafe_Hernan-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
12390131,Giuseppe's Restaurant,"Av. Charles Darwin y Manuel J. Cobos Diagonal al barco de souvenirs, 200150 Equador",San Cristobal ,4.5,136,$$ - $$$,indef,-0.903474986553192,-89.61244201660156,https://www.tripadvisor.com.br/Restaurant_Review-g297530-d12390131-Reviews-Giuseppe_s_Restaurant-San_Cristobal_Galapagos_Islands.html
1934877,Angermeyer Waterfront Inn,"Academy Bay, Puerto Ayora 200350 Equador",Santa Cruz ,4.0,232,$$$$,indef,-0.7504079937934875,-90.30972290039062,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d1934877-Reviews-Angermeyer_Waterfront_Inn-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
1504639,The Rock Galapagos - Seafood Grill & Bar,"Avenida Charles Darwin 270 Islas plazas, Puerto Ayora 200102 Equador",Santa Cruz ,4.0,897,$$ - $$$,R$ 27 - R$ 75,-0.7464249730110168,-90.3125,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d1504639-Reviews-The_Rock_Galapagos_Seafood_Grill_Bar-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
4547832,Lo&Lo Restaurant,"Third Street off the Waterfront deck, Puerto Ayora 200350 Equador",Santa Cruz ,4.0,205,$$ - $$$,R$ 21 - R$ 112,-0.7462559938430786,-90.3136749267578,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d4547832-Reviews-Lo_Lo_Restaurant-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
8364419,Otoy Restaurant Organic Farms,"Cerro Verde, Carretera Principal Via a la Galapagera y Puerto Chino Equador",San Cristobal ,4.5,85,$$ - $$$,R$ 53 - R$ 149,-0.9027990102767944,-89.44188690185547,https://www.tripadvisor.com.br/Restaurant_Review-g297530-d8364419-Reviews-Otoy_Restaurant_Organic_Farms-San_Cristobal_Galapagos_Islands.html
8440588,Cri's,"Teodoro Wolf, Puerto Baquerizo Moreno 200150 Equador",San Cristobal ,4.0,139,$,indef,-0.9012370109558104,-89.61070251464844,https://www.tripadvisor.com.br/Restaurant_Review-g297531-d8440588-Reviews-Cri_s-Puerto_Baquerizo_Moreno_San_Cristobal_Galapagos_Islands.html
3191805,El Cafetal Galápagos,"Av Antonio Gil Fragatas 0006, Puerto Villamil 200250 Equador",Isabela ,4.5,290,$$ - $$$,R$ 64 - R$ 399,-0.9569510221481324,-90.96604919433594,https://www.tripadvisor.com.br/Restaurant_Review-g1732554-d3191805-Reviews-El_Cafetal_Galapagos-Puerto_Villamil_Isabela_Galapagos_Islands.html
2470092,K.F. William,"Charles Binford 2 Blocks From The Dock, Puerto Ayora 200350 Equador",Santa Cruz ,4.5,155,$,indef,-0.7458209991455078,-90.31427001953124,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d2470092-Reviews-K_F_William-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
9747535,Shawarma Hot,"Puerto Villamil, 200103 Equador",Isabela ,4.5,131,$$ - $$$,R$ 16 - R$ 27,-0.9572250247001648,-90.96492004394533,https://www.tripadvisor.com.br/Restaurant_Review-g297525-d9747535-Reviews-Shawarma_Hot-Isabela_Galapagos_Islands.html
11872228,Sabor Cuencano Bakery and Coffee Shop,"Av. Alsacio Northia s/n Federico Garcia, Puerto Baquerizo Moreno 200150 Equador",San Cristobal ,5.0,41,$,indef,-0.9006630182266235,-89.60894775390625,https://www.tripadvisor.com.br/Restaurant_Review-g297531-d11872228-Reviews-Sabor_Cuencano_Bakery_and_Coffee_Shop-Puerto_Baquerizo_Moreno_San_Cristobal_Gala.html
3397157,Calypso,"Av. Charles Darwin y Manuel Cobos, Puerto Baquerizo Moreno 200150 Equador",San Cristobal ,4.0,315,$$ - $$$,indef,-0.9024009704589844,-89.61225128173828,https://www.tripadvisor.com.br/Restaurant_Review-g297531-d3397157-Reviews-Calypso-Puerto_Baquerizo_Moreno_San_Cristobal_Galapagos_Islands.html
14125731,Midori Sushi,"Igancio Hernandez, Puerto Baquerizo Moreno 200150 Equador",San Cristobal ,4.5,62,$$ - $$$,indef,-0.9010649919509888,-89.61127471923828,https://www.tripadvisor.com.br/Restaurant_Review-g297531-d14125731-Reviews-Midori_Sushi-Puerto_Baquerizo_Moreno_San_Cristobal_Galapagos_Islands.html
10219883,New Angermeyer Point,"Punta Estrada, Muelle Angermeyer, Puerto Ayora 200350 Equador",Santa Cruz ,4.5,61,$$ - $$$,R$ 106 - R$ 266,-0.761210024356842,-90.30594635009766,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d10219883-Reviews-New_Angermeyer_Point-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
4944006,El Descanso del Guia,"Av. Charles Darwin y baltra Frente Al Malecon, Puerto Ayora 200350 Equador",Santa Cruz ,4.0,136,$,R$ 53 - R$ 101,0.0,0.0,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d4944006-Reviews-El_Descanso_del_Guia-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
12881145,Villa Luna Brewhouse & Kitchen,"Tomas de Berlanga corner with 12 de Febrero, Puerto Ayora 200350 Equador",Santa Cruz ,4.5,37,$$ - $$$,R$ 16 - R$ 133,-0.7453680038452148,-90.31256866455078,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d12881145-Reviews-Villa_Luna_Brewhouse_Kitchen-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
14214671,Andrea & Valerio,"Avenida Charles Darwin, 200350 Equador",Santa Cruz ,4.5,43,$$ - $$$,indef,-0.7436259984970093,-90.312255859375,https://www.tripadvisor.com.br/Restaurant_Review-g297532-d14214671-Reviews-Andrea_Valerio-Santa_Cruz_Galapagos_Islands.html
12897447,Restaurante La Casa de Marita,"Conocarpus Via al embarcadero Cenar frente al Océano Pacifico, Puerto Villamil 200250 Equador",Isabela ,4.5,45,$$ - $$$,R$ 37 - R$ 192,-0.9581210017204284,-90.9638900756836,https://www.tripadvisor.com.br/Restaurant_Review-g1732554-d12897447-Reviews-Restaurante_La_Casa_de_Marita-Puerto_Villamil_Isabela_Galapagos_Islands.html
2489486,Rosita,"Igancio Hernandez Jose de Villamil, Puerto Baquerizo Moreno 200150 Equador",San Cristobal ,4.0,304,$$ - $$$,indef,-0.9021120071411132,-89.6111068725586,https://www.tripadvisor.com.br/Restaurant_Review-g297531-d2489486-Reviews-Rosita-Puerto_Baquerizo_Moreno_San_Cristobal_Galapagos_Islands.html
13411914,Rolls & Pops,"Av. Baltra Frente al Hospital Republica del Ecuador Local #092, Puerto Ayora 200350 Equador",Santa Cruz ,5.0,24,$,R$ 11 - R$ 106,-0.7467510104179382,-90.31375122070312,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d13411914-Reviews-Rolls_Pops-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
14025298,Endemic Turtle Resto-Bar,"Calle Petreles y Av. Antonio Gil Junto a Hotel La Laguna, Puerto Villamil 200103 Equador",Isabela ,4.0,57,$$ - $$$,R$ 43 - R$ 186,-0.9565560221672058,-90.96749114990234,https://www.tripadvisor.com.br/Restaurant_Review-g1732554-d14025298-Reviews-Endemic_Turtle_Resto_Bar-Puerto_Villamil_Isabela_Galapagos_Islands.html
7175682,La Regata,"Charles Darwin Ave In front of La Capitania, Puerto Ayora 200350 Equador",Santa Cruz ,4.0,208,$$ - $$$,indef,-0.7468159794807434,-90.31291198730467,https://www.tripadvisor.com.br/Restaurant_Review-g297533-d7175682-Reviews-La_Regata-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html
5983022,Isabela Grill Steak House,"Isabela Galapagos Av. 16 de Marzo y Los Jelies, Puerto Villamil 593 Equador",Isabela ,4.0,119,$$ - $$$,R$ 21 - R$ 117,-0.955402970314026,-90.9666976928711,https://www.tripadvisor.com.br/Restaurant_Review-g1732554-d5983022-Reviews-Isabela_Grill_Steak_House-Puerto_Villamil_Isabela_Galapagos_Islands.html
12899017,Red Tuna Restaurant & Seafood,"Ave. Charles Darwin y Tomas de Berlanga Esquina, 200350 Equador",Santa Cruz ,4.5,49,$$ - $$$,R$ 48 - R$ 213,-0.7449129819869995,-90.31175994873048,https://www.tripadvisor.com.br/Restaurant_Review-g297532-d12899017-Reviews-Red_Tuna_Restaurant_Seafood-Santa_Cruz_Galapagos_Islands.html
9711723,Luckys,"Avenida Ignacio De Hernandez Jose De Villamil. Esquina, Puerto Baquerizo Moreno 200150 Equador",San Cristobal ,4.5,31,$,indef,-0.9021829962730408,-89.61139678955078,https://www.tripadvisor.com.br/Restaurant_Review-g297531-d9711723-Reviews-Luckys-Puerto_Baquerizo_Moreno_San_Cristobal_Galapagos_Islands.html
12164534,Maestro De Casa,"Av. Antonio Gil y Escalecia Esquina, Puerto Villamil 200250 Equador",Isabela ,4.5,48,$$ - $$$,R$ 27 - R$ 160,-0.957168996334076,-90.96503448486328,https://www.tripadvisor.com.br/Restaurant_Review-g1732554-d12164534-Reviews-Maestro_De_Casa-Puerto_Villamil_Isabela_Galapagos_Islands.html
