restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,categoria_preco,faixa_preco,latitude,longitude,fonte
19112763,"Panadería El Obrador","Calle de Antonio Pascual Quiles 70 Local, 03204 Elche Espanha",Elche ,indef,0,$$ - $$$,indef,38.26097106933594,-0.7109360098838806,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d19112763-Reviews-Panaderia_El_Obrador-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
20208300,"BP","Av Del Bimilenario S/n, 03207 Elche Espanha",Elche ,indef,0,indef,indef,38.283119201660156,-0.683597981929779,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d20208300-Reviews-BP-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
7037835,"Iberdog","Plaza de la Glorieta 1-D, 03201 Elche Espanha",Elche ,indef,0,indef,indef,38.26594924926758,-0.6962000131607056,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d7037835-Reviews-Iberdog-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
13184145,"Bar Luna","C/libertad N 52, 03320 Elche Espanha",Elche ,indef,0,Espanhola,indef,38.291419982910156,-0.5895100235939026,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d13184145-Reviews-Bar_Luna-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
16926398,"Los Nordicos","Partida Alzabares Alto polígono 1, 31, 03290 Elche Espanha",Elche ,indef,0,$$ - $$$,R$ 53 - R$ 132,38.25274658203125,-0.6595770120620728,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d16926398-Reviews-Los_Nordicos-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
12822100,"Jesule's Pub","Av. Manuel Martinez Valero, 16 bajo, 03208 Elche Espanha",Elche ,indef,0,$$ - $$$,R$ 59 - R$ 132,38.264678955078125,-0.6648600101470947,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d12822100-Reviews-Jesule_s_Pub-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
23037997,"Tirmes","Calle Petrer 27 Bajo, 1, 03206 Elche Espanha",Elche ,indef,0,indef,indef,38.27638244628906,-0.7202900052070618,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d23037997-Reviews-Tirmes-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
21399473,"Burger King","Carrer Alcoy, 12, 03203 Elche Espanha",Elche ,indef,0,indef,indef,38.27018356323242,-0.6721190214157104,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d21399473-Reviews-Burger_King-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
21399472,"Burger King","Avinguda de Crevillente, 31, 3293 Elche Espanha",Elche ,indef,0,indef,indef,38.25846481323242,-0.7279649972915649,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d21399472-Reviews-Burger_King-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
17804585,"Bobble Bobble","Calle Corredora 8, 03203 Elche Espanha",Elche ,indef,0,Bar,indef,38.265499114990234,-0.6978499889373779,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d17804585-Reviews-Bobble_Bobble-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
15758826,"Ñam Ñam","Plaza el Salvador Entresuelo, 03680 Elche Espanha",Elche ,indef,0,$$ - $$$,R$ 79 - R$ 329,38.26472854614258,-0.6975600123405457,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d15758826-Reviews-Nam_Nam-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
20056344,"Capricho de Mariama","Calle Jose Antonio Canete Juarez, 17B Local 1, 03202 Elche Espanha",Elche ,indef,0,indef,indef,38.275543212890625,-0.6699889898300171,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d20056344-Reviews-Capricho_de_Mariama-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
10535374,"Chicken Grilled","Calle Vicente Blasco Ibanez 43, 03201 Elche Espanha",Elche ,indef,0,$$ - $$$,R$ 33 - R$ 132,38.26784133911133,-0.7040600180625916,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d10535374-Reviews-Chicken_Grilled-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
21070369,"Restaurante Chino Gran Suerte","Calle de Asuncion Parreno Garcia 8, 03205 Elche Espanha",Elche ,indef,0,indef,indef,38.27118682861328,-0.7109190225601196,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d21070369-Reviews-Restaurante_Chino_Gran_Suerte-Elche_Costa_Blanca_Province_of_Alicante_Valencian_.html
23506210,"Águila Bar La Torre","C/ La Torre Nº 4, 03204 Elche Espanha",Elche ,indef,0,Café,indef,38.260921478271484,-0.7034000158309937,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d23506210-Reviews-Aguila_Bar_La_Torre-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
13205877,"Racó de Alvaro","Carretera Elche-Santa Pola Km 7 Rotonda cruce de Valverde, 03139 Elche Espanha",Elche ,indef,0,$$ - $$$,indef,38.23413848876953,-0.6243699789047241,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d13205877-Reviews-Raco_de_Alvaro-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
10365570,"Biergarden","Carretera Crevillente 25 En el parking de Mediamarkt, 03205 Elche Espanha",Elche ,indef,0,$,indef,38.25884246826172,-0.7256990075111389,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d10365570-Reviews-Biergarden-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
21346814,"Pans & Company","Carrer Jacarilla, 7, A, 22 Centro Comercial L'Aljub, 03205 Elche Espanha",Elche ,indef,0,$,R$ 20 - R$ 53,0.0,0.0,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d21346814-Reviews-Pans_Company-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
23625333,"Pedro Valle Sempere","Calle del Alcalde Juan Hernandez Rizo 17 1o, 03203 Elche Espanha",Elche ,indef,0,indef,indef,38.26730728149414,-0.6717259883880615,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d23625333-Reviews-Pedro_Valle_Sempere-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
21052557,"Restaurante El Veintiseis","Avda. De San Bartolome De Tirajana, 03195 Elche Espanha",Elche ,indef,0,indef,indef,38.25190734863281,-0.517350971698761,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d21052557-Reviews-Restaurante_El_Veintiseis-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Coun.html
23636459,"The Welcome Café","Avenida Profesor Enrique Tierno Galvan, 5, 03205 Elche Espanha",Elche ,indef,0,Bar,indef,38.274391174316406,-0.7185019850730896,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d23636459-Reviews-The_Welcome_Cafe-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
994153,"Tapas Made In Spain SL.","Partida Alzabaras Alto 36, 03290 Elche Espanha",Elche ,indef,0,Espanhola,indef,38.254459381103516,-0.6688500046730042,https://www.tripadvisor.com.br/Restaurant_Review-g661469-d994153-Reviews-Tapas_Made_In_Spain_SL-Elche_Costa_Blanca_Province_of_Alicante_Valencian_Country.html
