nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
Museu do Chá,Rodovia do Contorno | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,16,-20.295970916748047,-43.6450309753418,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4376906-Reviews-Tea_Museum-Ouro_Preto_State_of_Minas_Gerais.html
Atelie Paulo Valadares,Praça Tiradentes 132 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,5.0,6,-20.38574981689453,-43.503849029541016,https://www.tripadvisor.com.br/Attraction_Review-g303389-d12664008-Reviews-Atelie_Paulo_Valadares-Ouro_Preto_State_of_Minas_Gerais.html
Igreja São Miguel e Almas (Bom Jesus Matosinhos),Rua Alvarenga Peixoto | s/n Cabeças | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,34,-20.381790161132812,-43.515560150146484,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389317-Reviews-Sao_Miguel_e_Almas_Bom_Jesus_Matosinhos_church-Ouro_Preto_State_of_Minas_Gerais.html
Centro de Artes e Convenções da UFOP,Rua Diogo de Vasconcelos | 328 Bairro Pilar | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,64,-20.389497756958008,-43.506832122802734,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4976493-Reviews-Centro_de_Artes_e_Convencoes_da_UFOP-Ouro_Preto_State_of_Minas_Gerais.html
Largo de Coimbra,indef,Ouro Preto ,4.5,11,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10088000-Reviews-Largo_de_Coimbra-Ouro_Preto_State_of_Minas_Gerais.html
Mosteiro Zen Budista Pico de Raios,Rua Rio Piracicapa | 390 - Morro São Sebastião | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,4.0,10,-20.376670837402344,-43.49674987792969,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389329-Reviews-Pico_de_Raios_Zen_Buddhist_monastery-Ouro_Preto_State_of_Minas_Gerais.html
Praça Reinaldo Alves de Brito,Praca Reinaldo Alves de Brito sn | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,4,-20.384899139404297,-43.50577163696289,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10082877-Reviews-Praca_Reinaldo_Alves_de_Brito-Ouro_Preto_State_of_Minas_Gerais.html
Josimar Guimarães - Escritório de Arte,Rua Claudio Manoel 130 | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,5.0,32,-20.386028289794922,-43.50227355957031,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10556989-Reviews-Josimar_Guimaraes_Escritorio_de_Arte-Ouro_Preto_State_of_Minas_Gerais.html
Museu Aberto Cidade Viva,Rua Sao Jose n 132 Centro | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,49,-20.38460922241211,-43.50716018676758,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4376915-Reviews-Aberto_Cidade_Viva_Museum-Ouro_Preto_State_of_Minas_Gerais.html
Observatório Astronômico da Escola de Minas,Praca Tiradentes 20 Centro | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,6,-20.386077880859375,-43.50374984741211,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10084220-Reviews-Observatorio_Astronomico_da_Escola_de_Minas-Ouro_Preto_State_of_Minas_Gerais.html
