nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
Museu Casa dos Inconfidentes,Rua Engenheiro Correa Vila Aparecida | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,273,-20.392335891723633,-43.506649017333984,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4451825-Reviews-Casa_dos_Inconfidentes_Museum-Ouro_Preto_State_of_Minas_Gerais.html
Igreja Nossa Senhora do Rosário,Largo do Rosário | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,700,-20.383939743041992,-43.509849548339844,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4597983-Reviews-Igreja_Nossa_Senhora_do_Rosario-Ouro_Preto_State_of_Minas_Gerais.html
Igreja Nossa Senhora dos Prazeres,Praça Pedro Fernandes Marins | Lavras Novas | Ouro Preto | Minas Gerais Brasil,Lavras Novas ,4.0,263,-20.477304458618164,-43.51641845703125,https://www.tripadvisor.com.br/Attraction_Review-g2613515-d8048865-Reviews-Igreja_Nossa_Senhora_dos_Prazeres-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
Mirante Morro São Sebastião,Ladeira João de Paiva | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,166,-20.381229400634766,-43.502525329589844,https://www.tripadvisor.com.br/Attraction_Review-g303389-d7675995-Reviews-Mirante_Morro_Sao_Sebastiao-Ouro_Preto_State_of_Minas_Gerais.html
Igreja Sta Efigênia dos Pretos,Rua Santa Efigênia | s/n Alto da Cruz | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,359,-20.387266159057617,-43.5002555847168,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389321-Reviews-Santa_Efigenia_dos_Pretos_church-Ouro_Preto_State_of_Minas_Gerais.html
Museu do Oratório,At St. Carmel Novitiate | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,662,-20.386098861694336,-43.50430679321289,https://www.tripadvisor.com.br/Attraction_Review-g303389-d555144-Reviews-Oratory_Museum_Museu_Do_Oratorio-Ouro_Preto_State_of_Minas_Gerais.html
Rua Conde de Bobadela,Ouro Preto | Minas Gerais Brasil,Ouro Preto ,4.5,563,-20.3854923248291,-43.50383377075195,https://www.tripadvisor.com.br/Attraction_Review-g303389-d555141-Reviews-Rua_Conde_de_Bobadela-Ouro_Preto_State_of_Minas_Gerais.html
Estrada Real,indef,Lavras Novas ,4.5,91,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g2613515-d10072572-Reviews-Estrada_Real-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
Teatro Municipal,Rua Brigadeiro Musqueira | s/n | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,286,-20.385910034179688,-43.50444030761719,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389359-Reviews-Teatro_Municipal-Ouro_Preto_State_of_Minas_Gerais.html
Museu de Ciência e Técnica da Escola de Minas/UFOP,Praca Tiradentes | 20 - Centro | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,359,-20.384435653686523,-43.50362014770508,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2324602-Reviews-Museu_de_Ciencia_e_Tecnica_da_Escola_de_Minas_UFOP-Ouro_Preto_State_of_Minas_Gera.html
Mina de Ouro Santa Rita,Rua Santa Rita | 171 Bairro Padre Faria | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,90,-20.386560440063477,-43.4930305480957,https://www.tripadvisor.com.br/Attraction_Review-g303389-d7087841-Reviews-Mina_de_Ouro_Santa_Rita-Ouro_Preto_State_of_Minas_Gerais.html
