restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,faixa_preco,latitude,longitude,fonte
5285775,PORAO Cervejaria,"Rua Padre Marcelino, 2421 Rua Direita, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,794,indef,-20.385183334350586,-43.505279541015625,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5285775-Reviews-PORAO_Cervejaria-Ouro_Preto_State_of_Minas_Gerais.html
10397940,Cervejaria Ouropretana - Loja Da Fábrica,"Rua Benedito Valadares, 250, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,178,US$ 1 - US$ 19,-20.385061264038086,-43.510345458984375,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d10397940-Reviews-Cervejaria_Ouropretana_Loja_Da_Fabrica-Ouro_Preto_State_of_Minas_Gerais.html
2389440,Restaurante Contos de Réis ,"Rua Camilo de Brito, 21 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,1430,US$ 12 - US$ 20,-20.383556365966797,-43.50306701660156,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d2389440-Reviews-Restaurante_Contos_de_Reis-Ouro_Preto_State_of_Minas_Gerais.html
6720340,Restaurante Palavras Novas,"Rua Nossa Senhora dos Prazeres 1110, Lavras Novas, Ouro Preto, Minas Gerais 35400-000 Brasil",Lavras Novas ,4.0,368,indef,-20.47446060180664,-43.522823333740234,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d6720340-Reviews-Restaurante_Palavras_Novas-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
4580969,Restaurante Pimenta Rosa,"Rua Nossa Senhora dos Prazeres 121, Lavras Novas, Ouro Preto, Minas Gerais 35400-000 Brasil",Lavras Novas ,4.0,604,US$ 5 - US$ 13,-20.478073120117188,-43.5123405456543,https://www.tripadvisor.com.br/Restaurant_Review-g2613515-d4580969-Reviews-Restaurante_Pimenta_Rosa-Lavras_Novas_Ouro_Preto_State_of_Minas_Gerais.html
4601427,O Sotao,"Rua Sao Jose, 201 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,414,US$ 10 - US$ 30,-20.38517951965332,-43.50733184814453,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d4601427-Reviews-O_Sotao-Ouro_Preto_State_of_Minas_Gerais.html
1733639,Chão de Minas,"Rua Nossa Senhora Auxiliadora, 29 Centro, Ouro Preto, Minas Gerais 35410-000 Brasil",Ouro Preto ,4.5,139,indef,-20.345535278320312,-43.67644119262695,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d1733639-Reviews-Chao_de_Minas-Ouro_Preto_State_of_Minas_Gerais.html
3734357,Acaso 85 Scotch Bar e Restaurante,"Largo do Rosario 85, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,359,indef,-20.384403228759766,-43.510257720947266,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d3734357-Reviews-Acaso_85_Scotch_Bar_Restaurante-Ouro_Preto_State_of_Minas_Gerais.html
2389364,Bar Barroco,"Rua Professor Alberto Barbosa, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.0,235,indef,-20.37582015991211,-43.51546096801758,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d2389364-Reviews-Bar_Barroco-Ouro_Preto_State_of_Minas_Gerais.html
5712473,Garapinha,"Praca Reinaldo Alves de Brito 77 Centro, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto ,4.5,96,indef,-20.384899139404297,-43.50577163696289,https://www.tripadvisor.com.br/Restaurant_Review-g303389-d5712473-Reviews-Garapinha-Ouro_Preto_State_of_Minas_Gerais.html
