estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,88marcelot,2019-09-19,2019-09-14,5.0,"Comidinha excelente com ótima cerveja","Lugar agradável com decoração de muito bom gosto.
Atendimento muito cordial.
Comidinhas muito gostosas e bem servidas, fora as cervejas que são deliciosas.
O chef Marcos manda muito bem na cozinha.
Recomendo."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,eduardoma2017,2019-08-16,2019-08-14,4.0,"Uma parada para refrescar entre tantas caminhadas pelas ruas da cidade","Final de tarde: bateu aquele cansaço de subir e descer as ladeiras da cidade...calor...logo ali, um pouco mais retirado do centrinho e burburinho da cidade, um lugar tranquilo (pelo menos logo na abertura do bar - 16h) para tomar aquela cerveja refrescante e que nos...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,vbarceloscarvalho,2019-08-12,2019-06-14,5.0,"Excelente","Muito bons molhos, cardápio bem variado e a melhor cerveja de Ouro preto. Atendimento excelente e lugar muito bem decorado. ùnico pecado: a cozinha fecha cedo (pelo menos na minha opinião é cedo, lá pelas 21hrs)."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Irinneu,2019-07-11,2019-07-14,5.0,"Peça pela localização","Não existem muitos lugares para se abrir um comércio em Ouro Preto e todos sabem disso. Porém, novos empreendimentos surgem em locais que favorecem a visitação. Visitei uma casa de fondue que abriu em março de 2019 a 300 metros do centro cultural. Como a...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,bitbol05,2019-07-09,2019-06-14,5.0,"Chopp gelado","Boas opções de chopp artesanal em um local de fácil acesso em uma rua c várias opções de bares e de estilos diversos.
Bom lugar para tomar um chopp na tarde. O chopp tem um preço meio salgado mas justo por ser um bar diferente....Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Ana Paula L,2019-07-08,2019-07-14,5.0,"Show...Show...Show","ôh lugarzinho legal...bonito, charmoso, limpésimo, moderno, agradável...atendimento profi e com pessoas extremamente atenciosas...chopp da Ouropretana delicioso... e até conseguimos um petisco vegano - bolinho de polenta frita com geleia de limão - deliciosos. Nós somos a Ana e o Rigo."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Fernanda F,2019-07-04,2019-07-14,3.0,"Esperava mais","O chopp é bom, mas esperava mais das porções. O pernil desfiado não estava bom, nem de longe lembrava um saboroso pernil. Ambiente com muitos pernilongos. Esperava mais pelas avaliações que li por aqui."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,GlobeTrotting796632,2019-07-04,2019-07-14,5.0,"Maravilhoso  ","O lugar é ótimo o espaço não é muito grande mas é super confortável, os atendentes são excelentes a cerveja muito boa e os petiscos também, pedi um sanduíche de linguiça maravilhoso o valor 18,00 R$ o valor das bebidas está no preço pelo local...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,DennisRobertKelbert,2019-06-28,2019-06-14,5.0,"Chopes variados e comida boa","Aperitivos perfeitos e chopes variados de qualidade. Local bacana com atendimento diferenciado. Vale a visita caso tenha mais que uma noite."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,grimaldobicalho,2019-06-15,2019-06-14,5.0,"Preço justo e carta variada de chopp ","Excelente opção em Ouro Preto, preço super justo, excelente tira gostos e variedades de chopp! Recomendo!"
