estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo
Tropea Cantina Armazem,13350445,restaurante-review,alineislabao,2021-01-11,2021-01-14,5.0,"Excelente","Comemorei meu aniversário no Tropea. O atendimento da Rafaela foi super bom. Todos os pratos estavam perfeitos, da entrada a sobremesa. O ambiente é lindo e acolhedor."
Tropea Cantina Armazem,13350445,restaurante-review,TaisaBlumenau_Brazil,2021-01-11,2021-01-14,5.0,"Jantar perfeito. ","Excelente opção em Ouro Preto. Impecável 🤩🤩🤩O serviço foi perfeito, pratos maravilhosos da entrada ao prato principal. Jantamos na nossa última noite em Ouro Preto, mas poderíamos ter voltado outras vezes."
Tropea Cantina Armazem,13350445,restaurante-review,Samara_oa,2021-01-10,2021-01-14,5.0,"Restaurante maravilhoso","Muito bom! Atendimento excelente, pizza incrível, suco maravilhosooo!!! Gostei demais e voltarei novamente! 😍"
Tropea Cantina Armazem,13350445,restaurante-review,j_ssicad797,2021-01-09,2021-01-14,5.0,"Impecável!!!!","Hoje tive o enorme prazer de almoçar nesse restaurante, onde eu e minha companheira fomos muito bem recebidas. Um jantar maravilhoso, fora o ambiente, muito acolherdor e romântico, e o que não podemos deixar passar é o cuidado que eles têm com a higienização relacionado...ao Covid 19.  Sucesso  a todos, vale muito a pena conhecer!!!!!Mais"
Tropea Cantina Armazem,13350445,restaurante-review,Q1071VGlucasf,2021-01-09,2021-01-14,5.0,"Tropea","Um dos principais restaurantes de Ouro Preto, tendo seu foco em Cantina Italiana. Parabéns pela excelência, estive em um fim de semana com meus amigos e foi tudo excelente, desde a recepção até à pizza Vibo Valentia e Tropea, um mix de sabores. Atendimento acima...da média, todos super educados e prestativos, vale a visita.Mais"
Tropea Cantina Armazem,13350445,restaurante-review,Núbia M,2021-01-09,2021-01-14,5.0,"Ambiente agradável , atendimento","Ambiente agradável , atendimento excelente ! Comida ótima , menu com opções para todos os gostos ! Superou minhas expectativas !"
Tropea Cantina Armazem,13350445,restaurante-review,tadeulc,2021-01-09,2021-01-14,5.0,"Almoço de primeira","Almoço de primeira qualidade. Parabéns pela qualidade dos produtos e do serviço. A localização também é muito boa, próxima à praça principal."
Tropea Cantina Armazem,13350445,restaurante-review,Juliaalmeidan,2021-01-08,2021-01-14,5.0,"Aconchegante e bonito","Adorei a comida, atendimento e o local! Espero que o estabelecimento prospere e se torne um sucesso!"
Tropea Cantina Armazem,13350445,restaurante-review,ChrisVarella,2021-01-08,2021-01-14,5.0,"Estivemos duas noites seguidas ","Restaurante em ambiente muito agradável 
Bom atendimento e boa comida
A pizza estava maravilhosa
Ambiente seguro na questão da segurança para o COVID"
Tropea Cantina Armazem,13350445,restaurante-review,835nat_liaa,2021-01-08,2021-01-14,5.0,"Avaliação","Ótimo atendimento, comida excelente e espaço incrível!! Recomendo muito o local!! Quem for a Ouro Preto vai conhecer !"
Tropea Cantina Armazem,13350445,restaurante-review,Raphaele Gleyse N,2021-01-08,2021-01-14,5.0,"Excelente!","Sugiro a todos o restaurante. Música de super bom gosto, excelente cardápio, prato farto e atendimento excepcional. Vale muito a pena! Tem que ir."
Tropea Cantina Armazem,13350445,restaurante-review,289ademirs,2021-01-08,2020-12-14,5.0,"Atendimento e cozinha sensacional","Estive com a minha esposa no Tropea e o atendimento, comida e bebidas estavam sensacionais. Indico o local."
Tropea Cantina Armazem,13350445,restaurante-review,anaalves89,2021-01-07,2021-01-14,5.0,"Pizza e lasanha","Pedimos pizza (6 pedaços), uma lasanha bolonhesa (é como os italianos fazem, sem queijo), suco de morango e uma soda italiana de tangerina. Tudo gostoso. Atendimento rápido (com 30 minutos de permanência estávamos indo embora do restaurante). Atendentes solícitos, inclusive sugeriu dividir a lasanha em...Mais"
Tropea Cantina Armazem,13350445,restaurante-review,claudiatristao,2021-01-07,2021-01-14,5.0,"Tropea Ouro Preto","Excelente ambiente, comida maravilhosa com preço justo e excelente atendimento. Com certeza voltaremos.Amei!"
Tropea Cantina Armazem,13350445,restaurante-review,C5847ZGvanessas,2021-01-07,2021-01-14,5.0,"Sensacional!","Maravilhosa a comida! Cerveja gelada, e o cordeiro é ótimo! 
Atendimento muito bom, tudo limpo e seguindo normas de distanciamento."
Tropea Cantina Armazem,13350445,restaurante-review,Sergio B,2021-01-05,2021-01-14,5.0,"Excelente ","Excelente restaurante. Pratos deliciosos, ótimo atendimento e ambiente muito agradável.Para o jantar é bom chegar antes das 20h ou reservar, pois pode ser que fique na fila de espera."
Tropea Cantina Armazem,13350445,restaurante-review,936s_niaa,2021-01-04,2021-01-14,5.0,"SHOW!!","Lugar maravilhoso e aconchegante!Bom atendimento e música agradável.Comemos pizza e estava sensacional,  além do drink e da cerveja ourotrepana , super indico."
Tropea Cantina Armazem,13350445,restaurante-review,71flavia,2021-01-04,2021-01-14,4.0,"Mudança de mesa","Cheguei com minha família às 19:30 no restaurante e só tinha uma mesa perto da porta de entrada. Sentamos, porém estava muito vento e pedimos para fechar um pouco a porta devido ao vento forte, porém nós falaram que só podia mexer um pouquinho. Como...Mais"
Tropea Cantina Armazem,13350445,restaurante-review,Henrique D,2021-01-04,2021-01-14,5.0,"Ótimo atendimento e comida excelente ","Ótimo atendimento e comida excelente! Atendimento muito cordial!!!! Custo benefício bom demais!
Vale muito a pena..."
Tropea Cantina Armazem,13350445,restaurante-review,AmandaBH2893,2021-01-04,2021-01-14,5.0,"Ótima opção em Ouro Preto!","Passei a virada de ano nesse restaurante e gostamos muito de toda a experiência! As comidas eram muito boas e o atendimento foi admirável. Fomos muito bem tratados por todos. Destaco a atenção da Jéssica que foi super simpática conosco e nos atendeu com carinho....Mais"
Tropea Cantina Armazem,13350445,restaurante-review,Lauracittadino,2021-01-03,2021-01-14,5.0,"Sublime!!! ","Sem dúvida alguma o melhor restaurante que visitei em Ouro Preto!! Gostamos tanto que voltamos 2 dias depois. Serviço impecável: as massas e a pizza chegaram ao mesmo tempo. Sabor: inesquecível!! Daqueles locais que a gente vai embora já querendo voltar!! Parada obrigatória!!"
Tropea Cantina Armazem,13350445,restaurante-review,thaismilenar,2021-01-03,2021-01-14,2.0,"Fila de espera na chuva","Ficamos por 40 minutos na fila de espera, estava chovendo torrencialmente, a recepcionista foi grosseira ao fechar a porta do restaurante, nos deixando  aguardando do lado de fora. Quando chegou nossa vez, passaram dois grupos na nossa frente, alegando que como os grupos eram maiores...Mais"
Tropea Cantina Armazem,13350445,restaurante-review,296luma,2021-01-03,2020-12-14,5.0,"Comida excelente, ambiente lindo e atendimento maravilhoso!","Fomos no dia 28 de dezembro de 2020 e ficamos encantados! 
Tanto que fomos novamente com nossa família no dia 29 de dezembro! 
A comida é sensacional, o lugar é incrível e o atendimento também foi espetacular!
Recomendamos muito!"
Tropea Cantina Armazem,13350445,restaurante-review,anneliseo592,2021-01-02,2021-01-14,5.0,"Excelente","Ótimo ambiente, culinária e atendimento. Agradecimento especial à cordialidade da colaboradora Jessica!"
Tropea Cantina Armazem,13350445,restaurante-review,bruunagama,2021-01-02,2021-01-14,5.0,"Maravilhoso ","Atendimento excelente, comida excepcional, local lindo, muito bem decorado, som ambiente gostoso. Tomei o drink Rossini delicioso, e comemos pizza, deliciosa tbm. Sobremesa maravilhosa. Incrível, recomendo muito."
Tropea Cantina Armazem,13350445,restaurante-review,520fariast,2021-01-01,2021-01-14,5.0,"O melhor jantar de nossas vidas","Estamos em uma viagem para consolidar nosso amor e em nossa última noite na cidade resolvemos visitar esse restaurante , e sabe de uma coisa ? Foi a melhor experiência que tivemos nessa cidade linda. O gente que lugar aconchegante, a comida então nem se...Mais"
Tropea Cantina Armazem,13350445,restaurante-review,ilananolopes,2021-01-01,2020-12-14,5.0,"Ótima opção! ","Fomos almoçar no dia 31/12 e tivemos que confirmar se estavam abertos pelo Instagram (horários não atualizados no Trip). De qualquer forma, fomos muito bem atendidos, desde a entrada até à mesa. Protocolo covid bem realizado, com medição de temperatura na chegada, placas informativas e...Mais"
Tropea Cantina Armazem,13350445,restaurante-review,patriciamcbovo,2020-12-31,2021-01-14,5.0,"Excelente escolha","Ótimo serviço, comida boa e preço justo! Ambiente agradável com boa trilha sonora, jazz e blues principalmente."
Tropea Cantina Armazem,13350445,restaurante-review,Andreia-de-Costa,2020-12-31,2020-12-14,5.0,"MUITO BOM","Restaurante ótimo,aconchegante,e comida muito boa,otimo atendimento,Cardapio extenso virtual,sem contati,volto sempre"
Tropea Cantina Armazem,13350445,restaurante-review,B7775KNhenriquep,2020-12-30,2020-12-14,5.0,"Noite maravilhosa","O restaurante é maravilhoso, local agradável, lindo, os funcionários muito educados, gentis e simpáticos.
Voltaremos e indicaremos com certeza.
Amamos."
O Passo pizzajazz,1837936,restaurante-review,alineislabao,2021-01-11,2021-01-14,5.0,"Uma das melhores opções de Ouro Preto.","Fomos ao restaurante duas vezes; a comida é fabulosa, o serviço é rápido e o local é agradável e muito bom. Agradecemos ao Gorazil pelo atendimento maravilhoso!"
O Passo pizzajazz,1837936,restaurante-review,452eugeniaf,2021-01-11,2020-12-14,4.0,"Muito bom.","Ótimo atendimento, os pratos de cozinha internacional, muito bem elaborados e decorados, rápidos no atendimento e na entrega dos pratos."
O Passo pizzajazz,1837936,restaurante-review,Juliaalmeidan,2021-01-10,2021-01-14,4.0,"Muito bom!","Achei o restaurante muito bom, porém nada excepcional! Comida bem feita e preço “ok”, achei que o atendimento deixou sim um pouco a desejar, mas n foi nada que não me faria voltar."
O Passo pizzajazz,1837936,restaurante-review,raphaelc140,2021-01-10,2021-01-14,4.0,"Muito bom","Ambiente e música ótimos. Pedi o queijo coalho e era muito bom também. Apenas o chopp deixou a desejar, pois não estava gelado, estava quase na temperatura ambiente. O atendimento foi ótimo."
O Passo pizzajazz,1837936,restaurante-review,lucilenel2013,2021-01-10,2021-01-14,5.0,"Nota 10. ","Nota 10. O restaurante está com todo o protocolo de higiene devido à Covid - excelente. Ambiente agradável e os pratos deliciosos. O atendimento dos garçons é maravilhoso."
O Passo pizzajazz,1837936,restaurante-review,Núbia M,2021-01-10,2021-01-14,4.0,"Restaurante amplo ","Restaurante amplo com espaço ao ar livre, com uma linda vista para a arquitetura barroca , comida boa e atendimento bom"
O Passo pizzajazz,1837936,restaurante-review,jpvtraveler,2021-01-10,2021-01-14,5.0,"Impecável","Volta ao O Passo é sempre muito bom. Apesar das restrições impostas pela pandemia, a fila de espera foi rápida e eficiente. O atendimento e a qualidade dispensam quaisquer ressalvas. Desta vez, o elogio vai para as “Exibidas”, uma entradinha muito gostosa."
O Passo pizzajazz,1837936,restaurante-review,andrespinola,2021-01-09,2021-01-14,5.0,"Muito bom ","Restaurante muito bom bem na rua principal de Ouro Preto. As pizzas são o carro chefe e são ótimas. O preço é mediano."
O Passo pizzajazz,1837936,restaurante-review,aninha_gian,2021-01-09,2021-01-14,5.0,"Jantar delicia em Ouro Preto","Pizza muito gostosa, restaurante aconchegante, serviço impecável! Destaque para um aparece azul, na parte de dentro, maravilhosa (e tem um tom de mosteiro, porque o artista não assinou). E para a parte de atendimento no jardim."
O Passo pizzajazz,1837936,restaurante-review,EricaM2007,2021-01-09,2021-01-14,5.0,"Ótimo","Medem a temperatura, funcionários seguem protocolos contra o Covid. Comida maravilhosa, atendimento muito bom."
O Passo pizzajazz,1837936,restaurante-review,camillemsm_,2021-01-07,2021-01-14,5.0,"Amei","Restaurante excelente, comida maravilhosa, pizzas com preços justos e atendimento incrível! Vim duas noites seguidas com minha família, pois amamos da comida ao ambiente do restaurante. Muito top!"
O Passo pizzajazz,1837936,restaurante-review,claudiatristao,2021-01-07,2021-01-14,5.0,"Passo Ouro Preto","Ambiente maravilhoso, atendimento excelente, excelentes massas. Uma experiência muita boa em Ouro Preto. Recomendo"
O Passo pizzajazz,1837936,restaurante-review,afonsob293,2021-01-07,2021-01-14,5.0,"Uma das melhores pizzas que já comi","Pizza excelente!! Massa super saborosa, macia, tem vinhos disponíveis para você tomar junto com a pizza, sobremesa também foi incrível, escolhi o petit de limão sciliano, local agradável, atendimento muito bom, foi uma experiência completa, indico a todos!"
O Passo pizzajazz,1837936,restaurante-review,627marianam,2021-01-05,2021-01-14,5.0,"Delicia!","Este restaurante e um dos melhores da cidade, amamos a pizza deles. Lugar super agradável mas chegue cedo ou esteja preparado pegar uma filinha."
O Passo pizzajazz,1837936,restaurante-review,L7853OWrenatoc,2021-01-05,2021-01-14,5.0,"Comida e ambiente excelentes","Comida e ambiente excelentes a um preço justo. 

O serviço é surpreendentemente rápido e os garçons são educados e prestativos."
O Passo pizzajazz,1837936,restaurante-review,luciadaia,2021-01-05,2020-12-14,5.0,"Pizza Excelente","A casa é muito agradável possui vários ambientes. O atendimento é rápido e atencioso. A pizza estava sensacional. Um ótimo cenário para uma noite agradável."
O Passo pizzajazz,1837936,restaurante-review,Sergio B,2021-01-05,2021-01-14,5.0,"Bem localizado e pratos deliciosos","Assim como o Tropea, tem um excelente custo/benefício. Pratos deliciosos, bem localizado, ambiente agradabilíssimo e ótimo atendimento. Não estavam aceitando reserva, mas chegamos logo apóz meio dia e não tivemos dificuldade para conseguir mesa. Por volta de 12h45 já estava ficando bem lotado, em plena...Mais"
O Passo pizzajazz,1837936,restaurante-review,m4riana_,2021-01-05,2021-01-14,2.0,"Não compensa","Fui com alguns amigos ao restaurante, a comida não estava muito boa já comi melhores em Ouro Preto. Além disso, a rolha de vinho é muito cara!!! N gostamos."
O Passo pizzajazz,1837936,restaurante-review,34larissas,2021-01-04,2021-01-14,4.0,"Pode melhorar o sabor","O ambiente é aconchegante e muito agradável. A comida é boa porém o ponto da carne não estava como pedi e se alguém me pergunta qual o ponto da carne, é sinal de que eu posso pedir e ele virá como o solicitado. O prato...Mais"
O Passo pizzajazz,1837936,restaurante-review,Lauracittadino,2021-01-03,2020-12-14,4.0,"Ceia de Réveillon! ","Experimentamos O Passo na noite de Ano Novo! O serviço foi muito bom e a comida estava bem saborosa! Esperava um pouco mais da entrada e do prato principal (peixe com risoto de limão siciliano). A sobremesa, mil folhas, estava perfeita. Ambiente muito agradável!"
O Passo pizzajazz,1837936,restaurante-review,71flavia,2021-01-03,2021-01-14,1.0,"Espera na chuva","Cheguei com minha família às 19:15, ou seja, bem cedo e ao entrar fomos parados pelo garçom para fazer um cadastro. Estava chovendo e fizemos o cadastro embaixo de chuva  mesmo e nem assim deixaram-nos aguardar sob a área coberta, pois falaram que estavam preparando...Mais"
O Passo pizzajazz,1837936,restaurante-review,Iris A,2021-01-03,2021-01-14,1.0,"O passo sem paladar!!!","Excelente atendimento pelo garçom Cleiton, ambiente maravilhoso. Mas a comida fica muito a desejar, poucas opções, sem tempero, a carne nem tente pedir bem passado, peça queimada, provavelmente poderá vir sem sangue!
Infelizmente o que agrada é o paladar! E para esse quesito dou nota...Mais"
O Passo pizzajazz,1837936,restaurante-review,thaiscsousa,2021-01-03,2021-01-14,5.0,"Imperdível!","Minha experiência foi incrível!
Atendimento impecável, sem contar que o ambiente do restaurante é extremamente agradável. Quanto a comida, estava tudo perfeito, recomendo fortemente o Ravioli do Serro, uma explosão de sabores!
Com certeza voltarei ao Passo Pizza Jazz, parabéns a todos os colaboradores pelo...Mais"
O Passo pizzajazz,1837936,restaurante-review,bruunagama,2021-01-02,2021-01-14,5.0,"Atendimento excelente ","Ambiente agradável, todos muito prestativos e educados, nosso atendimento foi impecável e a comida igual. A comida chegou super rápido. Super bem preparados para receber em relação ao covid. Recomendo muito!"
O Passo pizzajazz,1837936,restaurante-review,Robarzaghi,2021-01-01,2021-01-14,5.0,"imperdível!","imperdível! comida delícia e atendimento impecável. vale muitas visitas  comemos pizza, risoto e saladas."
O Passo pizzajazz,1837936,restaurante-review,gabrielponciano,2020-12-31,2021-01-14,5.0,"Avaliação ","Atendimento perfeito, comida maravilhosa e cerveja gelada. Ambiente único.
O retorno no estabelecimento é certo."
O Passo pizzajazz,1837936,restaurante-review,patriciamcbovo,2020-12-31,2021-01-14,5.0,"Boa pizzaria","Estivemos no restaurante entre Natal e Ano Novo, a cidade estava muito cheia. Precisamos aguardar na espera, o serviço foi bem rápido, pizza saborosa e preço justo. O restaurante foi bem indicado por amigos, mas não me surpreendeu."
O Passo pizzajazz,1837936,restaurante-review,AfranioCarlos,2020-12-31,2020-12-14,5.0,"Acima da média","Restaurante acima da média. Ambiente agradável (embora não propriamente sofisticado), bom atendimento, carta de vinhos diversificada e muitas opções de pratos interessantes no cardápio. A comida veio muito bem preparada, tudo caprichado e saboroso. Preços compatíveis para o padrão de qualidade do restaurante, sem ser...Mais"
O Passo pizzajazz,1837936,restaurante-review,amandamilagres,2020-12-30,2020-12-14,5.0,"Experiência gastronômica ","Excelente ambiente! Muito lindo o local, aconchegante e tem uma vista linda! Pedimos dois pratos maravilhosos, bem servidos e o sabor era divino, um dos pratos tinha frutos do mar com macarrão nero de sépia e o outro era um contra-filé com arroz piamontese! A...Mais"
O Passo pizzajazz,1837936,restaurante-review,Clauwanderck,2020-12-29,2020-12-14,5.0,"Atendimento excelente, ambiente","Atendimento excelente, ambiente aconchegante e comida excepcional. Comi risoto Bianco, simplesmente fantástico. Sobremesa cheesecake de queijo minas com calda de jaboticaba. Super indicado. Voltamos na noite seguinte!"
O Passo pizzajazz,1837936,restaurante-review,diegosegurafestas,2020-12-29,2020-12-14,5.0,"Charmoso","Ambiente delicioso! Venha no fim da tarde, o por do sol é lindo. O som ambiente agradável e comida de primeira."
O Passo pizzajazz,1837936,restaurante-review,CELSODEPAULA,2020-12-28,2020-12-14,4.0,"Delícia de lugar ","Espaço super agradável. Optamos por não almoçar e ficamos só nos petiscos, que por sinal estavam muito bons. 
O ponto forte sem dúvida é a localização."
O Passo pizzajazz,1837936,restaurante-review,Jocely955,2020-12-27,2020-04-14,4.0,"Especialidade culinária italiana","O Passo funciona em um casarão do século XVIII, foram preservados oito ambientes para atendimento, tem uma varanda com vista para Casa dos Contos e Ponte dos Contos. Excelente carta de vinhos.
Especialidade – culinária italiana, especialmente pizzas, massas e risotos."
O Passo pizzajazz,1837936,restaurante-review,felipedutt,2020-12-27,2020-12-14,5.0,"Recepção incrível ","Lugar super incrível, acolhedor e de um visual incrível.
Preços acessíveis além do atendimento ser nota 10."
O Passo pizzajazz,1837936,restaurante-review,professorstuart,2020-12-27,2020-12-14,5.0,"Atendimento EXCELENTE!!","Restaurante super agradável, com boa música (para quem gosta de jazz e blues), com uma carta de vinhos variada, pratos de todos os custos, desde risotos com queijos especiais até pizzas para a família toda. Garçons e Maître extremante atenciosos e educados. Fila de espera...Mais"
O Passo pizzajazz,1837936,restaurante-review,sigacarolana,2020-12-26,2020-12-14,5.0,"Lugar maravilhoso!","Como já era de se esperar, o local é muito gostoso de estar, além de ter comidas deliciosas.

O atendimento é incrível, os pratos são excelentes e drinks/vinhos muito bons. É quase uma tradição da família ter espaços agradáveis de estar rs 

Parada obrigatória em...Mais"
O Passo pizzajazz,1837936,restaurante-review,ailaf2016,2020-12-26,2020-12-14,1.0,"Atendimento péssimo. Você","Atendimento péssimo. Você pede algo a um garçom e ele fala que nao pode te atender e que ira passar para o garçom responsavel. Falei com 3 garçons diferentes ate ser atendida. E o local estava relativamente vazio. Imagine quando o local estiver cheio. Comida...Mais"
O Passo pizzajazz,1837936,restaurante-review,psaly,2020-12-25,2020-12-14,5.0,"Top!!","Se nao for o melhor, esta entre os melhores de Ouro Preto. Ambiente muito amplo com varios comodos que servem como saloes onde se distribuem mesas, alem de area externa. O cardapio nao eh muito amplo, mas considero isso uma vantagem, facil de escolher e...Mais"
O Passo pizzajazz,1837936,restaurante-review,walquiriacnf,2020-12-17,2020-12-14,5.0,"Inesquecível! ","Um restaurante muito procurado. Cheguei às 11:30h e a fila já estava formada aguardando a abertura às 12h. Possui uma varanda bem arejada e uma ótima vista. A comida é deliciosa e o atendimento impecável. Todos atenciosos e solícitos. Parada obrigatória em Ouro Preto!!!"
O Passo pizzajazz,1837936,restaurante-review,rayssajm,2020-12-12,2020-12-14,5.0,"Excelente","Localizaçao boa. Ambiente muito agradavel, tanto a parte interna quanto externa. O local fica bem cheio, entao se nao quiser esperar mais de 30min, chegue cedo. Mas a comida é muito boa, das entradas às sobremesas. Possui uma variedade enorme de bebidas também."
O Passo pizzajazz,1837936,restaurante-review,Marcioturismobrasil,2020-12-12,2020-12-14,1.0,"DESRESPEITO","Péssimos. Pedi uma pizza 20:20 h. Informei que estava com 2 crianças pequenas Deu 22:30 h e a pizza não chegou. Só passaram a me responder quando falei que iria cancelar. Nunca mais. Eles não tem preparo pra atendimento por delivery. Não entrem no mesmo...Mais"
O Passo pizzajazz,1837936,restaurante-review,jeancordeiro08,2020-12-11,2020-12-14,5.0,"Experiência maravilhosa ","Restaurante amplo e bem ventilado. Fui no horário do jantar. Da área externa é possível apreciar a vista da rua São José e da Casa dos Contos. Comida e bebida perfeitos. O Cheesecake de Queijo Canastra é maravilhoso. Peçam! Garçons bem atenciosos e disponíveis o...Mais"
O Passo pizzajazz,1837936,restaurante-review,986fl_viab,2020-12-04,2020-12-14,5.0,"Ótimo lugar!","Seguindo todos os protocolos de segurança, atendimento excelente, comida muito bem feita. O pudim de leite e sucos de frutas merecem destaque especial."
O Passo pizzajazz,1837936,restaurante-review,MidiToro,2020-12-01,2019-12-14,5.0,"Incrível","Pedi indicação de um bom restaurante, e falaram do O Passo, simplesmente PERFEITO!! Serve massas, pizzas..a entrada foi sensacional!! Carpaccio Clássico, que pão é aquele :O de prato principal foi Risoto Bianco..tudo muito bem feito, valeu a indicação, amei o ambiente e principalmente a comida."
O Passo pizzajazz,1837936,restaurante-review,datamaximavenia,2020-11-30,2020-11-14,5.0,"O MELHOR DE OURO PRETO","Voltei com minha namorada. Chegamos Domingo 11:15 e já havia 8 pessoas na fila. Detalhe: abre meio dia! Mas conseguimos a melhor mesa de casal da varandinha com vista. Só aí já valeu! Casa bombando como sempre então o atendimento não é lá uma Brastemp...Mais"
O Passo pizzajazz,1837936,restaurante-review,gregoryfelipeg,2020-11-29,2020-11-14,4.0,"Boa opção, porém muito cheio sempre, o que prejudica atendimento.","Fomos ao restaurante para jantar, já sabíamos da fila de espera devido a fama do restaurante, porém logo ao entrar notamos que o atendimento era feito de forma bem superficial, não conseguimos pedir os pratos porque o garçom que nos atendeu informou que nenhum tipo...Mais"
O Passo pizzajazz,1837936,restaurante-review,95relampagomcquem,2020-11-29,2020-11-14,5.0,"lugar bem agradável","Lugar, bonito,  decolado, com um toque de requinte, otimo serviço, pizzas exelentes, visita obrigatóris, e também tem opção de outros pratos."
O Passo pizzajazz,1837936,restaurante-review,famsiloli,2020-11-29,2020-10-14,5.0,"Pizzaria maravilhosa!!! Imperdível!","Atendimento impecável, música excelente, ambiente super agradável, a pizza chegou rápido, e estava bem movimentado; um show de sabor acompanhada por uma Cerveja Ouropretana, claro! Super recomendo!"
O Passo pizzajazz,1837936,restaurante-review,aureacriscosta,2020-11-28,2020-11-14,5.0,"O melhor de Ouro Preto","Na minha opinião é o melhor da região comida maravilhosa, pizza melhor ainda, atendimento impecável, ambiente maravilhoso, a comida chega muito rápido."
O Passo pizzajazz,1837936,restaurante-review,701s_lviab,2020-11-28,2020-11-14,5.0,"Espetacular! ","Estivemos durante a pandemia e todos os protocolos de segurança estavam sendo seguidos a risca. Restaurante enorme com vários ambientes, atendimento espetacular, entradas, drinks e pizza perfeitos! Preço justo. Recomendo ficar na varanda aberta para apreciar a vista para a cidade."
O Passo pizzajazz,1837936,restaurante-review,alissonr763,2020-11-24,2020-11-14,5.0,"Almoço Executivo maravilhoso!","Almoço executivo excelente! Comida bem servida, várias opções de pratos, salada de entrada, prato principal, sobremesa e café! Preço bom, comida boa, local agradável e bom atendimento! Excelente opção para almoço (ainda não fomos no jantar)."
O Passo pizzajazz,1837936,restaurante-review,Pedro S,2020-11-23,2020-11-14,5.0,"Comida Fantástica","Tive nesse restaurante com 8 amigos e ficamos muito bem nas mesas. Todo nosso pedido foi feito muito rápido e a comida foi servida mais rápido ainda. Fiquei impressionado. Os pratos são muito bem apresentados e muito saborosos. As sobremesas também são muito boas!
Voltaria...Mais"
O Passo pizzajazz,1837936,restaurante-review,BackPacker435550,2020-11-21,2020-11-14,5.0,"Restaurante lindo com culinária","Restaurante lindo com culinária italiana excepcional. Fica ainda mais agradável com música ao vivo a tarde."
O Passo pizzajazz,1837936,restaurante-review,90franciss,2020-11-21,2020-11-14,5.0,"Restaurante Lindo","Restaurante lindo, ambiente histórico,  muito agradável. As mesas no jardim são um charme a parte. Vale a pena tanto para almoço como para o jantar.
Comida excelente. Pizza divina!
Garçons muito educados, atenciosos.
Super recomendo."
O Passo pizzajazz,1837936,restaurante-review,Fabiics,2020-11-19,2020-11-14,5.0,"Maravilhoso!","Amei o lugar! Ambiente gostoso, atendimento ótimo e os pratos que pedimos (salmão e costela) estavam espetaculares!"
O Passo pizzajazz,1837936,restaurante-review,P4997MDfernandog,2020-11-18,2020-11-14,5.0,"O melhor restaurante de ouro preto","Restaurante ótimo, comida excelente e o preço bom(pelo atendimento e qualidade dos pratos, não dá para esperar que fosse barato). O ambiente é sofisticado ideal para datas comemorativas."
O Passo pizzajazz,1837936,restaurante-review,907eltons,2020-11-18,2020-11-14,5.0,"Lugar incrível e requintado. ","Lugar incrível, requintado, atendimento impecável, tinha bastante movimento e mesmo assim a comida veio super rápido. Comida de qualidade e saborosa."
O Passo pizzajazz,1837936,restaurante-review,DaniAndre2020,2020-11-18,2020-11-14,5.0,"Autentico restaurante italiano","Restaurante magnifico, desde a decoração, atendimento, conhecimento dos garçons sobre bebidas e comida servida, e claro... os pratos magnificos servidos!"
O Passo pizzajazz,1837936,restaurante-review,rogerion215,2020-11-15,2020-11-14,4.0,"Muito bom ","O lugar tem ótimo atendimento, espaço bom, vários ambientes, música agradável. 
A comida eh muito boa, não eh incrível mas eh boa. A sobremesa “sorvete de queijo” é imperdível. 

O preço e justo, vale a pena experimentar"
O Passo pizzajazz,1837936,restaurante-review,gaq27,2020-11-14,2020-10-14,5.0,"Superou a expectativa","Pelas avaliações já esperava ser bom. Mas foi surpreendido pela qualidade. Ambiente muito agradável, nas partes externas há opção de vista para a cidade, ou para a natureza; talvez a climatização da parte interna poderia ter a temperatura mais baixa.

Pedi uma opção com entrada,...Mais"
O Passo pizzajazz,1837936,restaurante-review,Gabriel_Camargos,2020-11-11,2020-11-14,5.0,"Uma excelente experiência gastronômica ","Fomos ao Passo Pizza por indicação do Trip Advisor. A experiência foi maravilhosa. Pedi um Raviolli com queijo Serro e filé. Minha esposa pediu um tornedor de carne. A comida chegou em um prazo muito rápido. Atendimento dos garçons excelente. Preço muito bom se comparado...Mais"
O Passo pizzajazz,1837936,restaurante-review,A3698QYlucianac,2020-11-11,2020-11-14,5.0,"Incrível!!!","Ambiente perfeito, comida saborosa, atendimento sensacional e a rapidez fora de série!!!! Fica muito cheio e por isso é bom chegar cedo. Ameiiii"
O Passo pizzajazz,1837936,restaurante-review,945keilar,2020-11-10,2020-11-14,5.0,"Amei","Que lugar! Começando pelo local do restaurante, muito lindo, antigo como a cidade, mas sofisticado. Esperamos cerca de 20 minutos que valeram a pena (chegamos 14:00 num domingo). Atendimento ótimo. Valores são ótimos pela qualidade e sabor, comida muito saborosa, saiu muito rápido nosso pedido....Mais"
O Passo pizzajazz,1837936,restaurante-review,ics1990,2020-11-10,2020-11-14,5.0,"Perfeito","Excelente atendimento, comida maravilhosa, ambiente aconchegante. Os pratos foram servidos muito rápidos."
