restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,faixa_preco,latitude,longitude,fonte
6031862,Petisqueira Rapa de Angu,"Rua Hum 186, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,25,$$ - $$$,-20.102937698364258,-44.06568145751953,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d6031862-Reviews-Petisqueira_Rapa_de_Angu-Brumadinho_State_of_Minas_Gerais.html
8671369,Bistro Mendes,"rua coletora 267, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,57,$$ - $$$,-20.14128303527832,-44.215599060058594,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d8671369-Reviews-Bistro_Mendes-Brumadinho_State_of_Minas_Gerais.html
7616169,Espeteria,"Rua Presidente Vargas 288, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,42,$,-20.143863677978516,-44.201499938964844,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d7616169-Reviews-Espeteria-Brumadinho_State_of_Minas_Gerais.html
6153508,Bar Do Ganso,"Avenida Inhotim 20, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,36,$$ - $$$,-20.136394500732422,-44.21852111816406,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d6153508-Reviews-Bar_Do_Ganso-Brumadinho_State_of_Minas_Gerais.html
12458649,Brumagrill Churrascaria e Restaurante,"Rodovia MG 040 km 49, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,55,$$ - $$$,-20.12812614440918,-44.19712448120117,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d12458649-Reviews-Brumagrill_Churrascaria_e_Restaurante-Brumadinho_State_of_Minas_Gerais.html
8114233,Casa Italia,"Avenida Casa Branca, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,21,$$ - $$$,-20.083511352539062,-44.044227600097656,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d8114233-Reviews-Casa_Italia-Brumadinho_State_of_Minas_Gerais.html
8364873,Trailler Da Empada,"Avenida Casa Branca 737 Casa Branca, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,13,$,-20.082626342773438,-44.044002532958984,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d8364873-Reviews-Trailler_Da_Empada-Brumadinho_State_of_Minas_Gerais.html
8212893,Burguer Mania,"Rua Itaguá, 2137 Grajaú, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,16,$,-20.142948150634766,-44.2038459777832,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d8212893-Reviews-Burguer_Mania-Brumadinho_State_of_Minas_Gerais.html
8212892,Casa Das Empadas Sabor Mineiro,"Rua Itagua 68 Lj 2 Centro, Brumadinho, Minas Gerais Brasil",Brumadinho ,4.5,16,$,-20.149389266967773,-44.222450256347656,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d8212892-Reviews-Casa_Das_Empadas_Sabor_Mineiro-Brumadinho_State_of_Minas_Gerais.html
4532707,Cacau Show,"Rua Presidente Vargas,186 Centro, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,20,$,-20.142953872680664,-44.201351165771484,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d4532707-Reviews-Cacau_Show-Brumadinho_State_of_Minas_Gerais.html
5367087,Restaurante Angu e Couve,"Praca a 165 S Jose, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,3.5,41,$,-20.153308868408203,-44.19991683959961,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5367087-Reviews-Restaurante_Angu_e_Couve-Brumadinho_State_of_Minas_Gerais.html
15243267,Disk Açai Brumadinho,"Avenida Vigilato Braga No 278 Loja 3, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,6,$,-20.142108917236328,-44.201873779296875,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d15243267-Reviews-Disk_Acai_Brumadinho-Brumadinho_State_of_Minas_Gerais.html
11488006,Restaurante Carpe Diem,"Avenida Paraopeba 475 Casa Branca, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.5,12,$$ - $$$,-20.11273193359375,-44.047080993652344,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d11488006-Reviews-Restaurante_Carpe_Diem-Brumadinho_State_of_Minas_Gerais.html
14052059,Cervejaria Artesanal Piacenza,"Rua Feliciano Pinto Brandao 500, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,5,$$ - $$$,-20.189931869506836,-44.10014343261719,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d14052059-Reviews-Cervejaria_Artesanal_Piacenza-Brumadinho_State_of_Minas_Gerais.html
12226071,Bistrô Casa do Chiari,"Rua Quaresmeira Rosa 406 Contact first for booking, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,5.0,6,$$$$,-20.080995559692383,-43.996150970458984,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d12226071-Reviews-Bistro_Casa_do_Chiari-Brumadinho_State_of_Minas_Gerais.html
5363912,Restaurante Dona Carmita,"Rua 1 SN Dist Monte Verde, Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,14,$$ - $$$,-20.15523910522461,-44.158111572265625,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d5363912-Reviews-Restaurante_Dona_Carmita-Brumadinho_State_of_Minas_Gerais.html
19611381,Restaurante Horizontes,"Estrada da Serra 10 Ao Lado da pista de Parapente., Brumadinho, Minas Gerais 35460-000 Brasil",Brumadinho ,4.0,9,$$ - $$$,-20.19489097595215,-43.97917175292969,https://www.tripadvisor.com.br/Restaurant_Review-g1747395-d19611381-Reviews-Restaurante_Horizontes-Brumadinho_State_of_Minas_Gerais.html
