estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo,origem
Santa Matula - Casa Bistrô,14140408,restaurante-review,alessandrafonsecag,2020-01-24,2020-01-06,5.0,"Jantar no Santa Matula","A experiência proporcionada no Santa Matula é incrível! O jantar, agendado previamente, é maravilhoso, tudo feito com carinho e excelência! Sem contar o ambiente, um casarão lindo, no centro da cidade, com um ar muito aconchegante! Recomendo a todos que agendem os serviços oferecidos pelo Santa Matula e desfrutem dessa opção ao visitar Ouro Preto!",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,catia k,2020-01-22,2020-01-06,5.0,"experiencia incrivel","Ser atendida exclusivamente, em um ambiente local, um de casarão tipico, incluindo uma incrível vista da torre da Igreja de São Francisco de Assis iluminada a partir da sala de jantar. Comida caseira mineira autêntica feita com carinho, deliciosa, um vinho.... tudo de bom.
Vale observar que o atendimento é feito apenas mediante reserva e esolha do cardapio com antecedencia.
Não deixem de reservar, será uma experiencia impar.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Issbelk,2020-01-22,2020-01-06,5.0,"Excelente","A anfitriã literalmente nos abriu as portas da sua linda casa para desfrutarmos de uma experiência gastronômica com uma comida caseira muito saborosa!
Pedimos uma entrada, um prato para compartilhar (normalmente para duas pessoas, mas como éramos em três o fizeram proporcional para nós), sobremesa, vinho, água, café.
A nossa experiência foi super agradável e gostosa. Saímos de lá muito satisfeitos!

Uma coisa muito importante: a Santa Matula somente atende mediante reserva antecipada (via whatsapp). Assim que a reserva foi feita, nós recebemos o cardápio do dia (com os valores) para escolhermos os pratos. Tudo muito fácil e rápido. Eles aceitam cartão de crédito e débito.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Elcio G,2020-01-08,2020-01-06,5.0,"Uma excelente experiência gastronômica em Ouro Preto","Comida e sobremesa divinas. Uma experiência muito especial da autêntica comida caseira mineira. Almoço customizado, comida caseira e em família.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Lucviagens,2020-01-04,2020-01-06,5.0,"Almoço em família","Almoçar no Santa Matula foi uma experiência incrível. Descobri o local na internet. Em função das boas indicações e informações disponíveis, entrei no site, vi fotos do local e o cardápio (com preços atualizados). Escolhi Costela de porco defumada com molho de rapadura temperada com gengibre e com purê de batatas. Escolha do local e prato muito acertadas. Marcamos a hora e cardápio do almoço pelo WhatsApp . Chegamos um pouco antes. Fomos recebidos pela proprietária que nos levou a sala da casa para aguardarmos um pouco pelo almoço. Tudo começou aí. Local agradável e fomos embalados pelo aroma da comida... Drpous convidados a ir a sala de jantar, encontramos uma mesa muito bem posta nos esperando. Tudo deliciosoooo",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,maluacctcc,2020-01-04,2020-01-06,5.0,"Comemorar bodas de ouro dos sogros","Local aconchegante e excelente. A comida excepcional e preparada com muito carinho. E o atendimento perfeito.","Aracaju, SE"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Marcella M,2019-12-25,2019-12-06,5.0,"Experiência incrivel","Comida mineira raiz, simpatia e acolhimento! Espaço incrivel para um almoco em família, uma tarde incrivel e inesquecivel! Os sabores ficarão eternizados na minha cabeça! Obrigada por me emocionaram tanto com o poder da boa comida mineira!",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,ciceradiana,2019-12-24,2019-12-06,5.0,"Agradável experiência","Agendei um almoço devido às ótimas avaliações do TripAdvisor e ainda assim nos surpreendemos. Lugar aconchegante, ótimo atendimento e a comida estava excelente! Ótimo tempero. Destaque para o molho de queijo servido com pães quentinhos como entrada. Adorei e volto com certeza!","Belo Horizonte, Brasil"
Santa Matula - Casa Bistrô,14140408,restaurante-review,lucigoulart,2019-12-23,2019-12-06,5.0,"Comida maravilhosa","Eu tinha visto as avaliações do Santa Matula aqui e fiquei empolgada para conhecer. Fiz a reserva por whatsapp assim que cheguei em Ouro Preto. Esperava uma boa comida, mas a realidade foi muito melhor que a expectativa. A Adriana e a Ana são muito simpáticas e receptivas. Tornam a visita bem agradável. Além do bom gosto na escolha da playlist (MPB). E a comida é maravilhosa! O marido simplesmente amou a galinha à cabidela e o frango com quiabo (gostamos tanto que voltamos no dia seguinte). Tudo muito saboroso: a costelinha ao molho de rapadura, o angu de milho, o carbonara caipira e a ambrosia. A cidade é uma delícia, mas o evento mais marcante foi conhecer esse restaurante.","São Paulo, SP"
Santa Matula - Casa Bistrô,14140408,restaurante-review,LuAndRod,2019-12-11,2019-12-06,5.0,"Experiência gastronômica intimista maravilhosa!","Lugar lindo e acolhedor, um maravilhoso casarão em Ouro Preto, charmoso, limpo e bem cuidado. Comida deliciosa, fresquinha, fait maison, com gostinho de comida da vovó! Adriana nos recebe com muito carinho e hospitalidade, nos faz sentir em casa. E com certeza nos faz querer voltar! Lugar muito simpático também pra quem vem com crianças pequenas, como no nosso caso. Tranquilo pra que eles possam brincar ou mesmo dormir no quarto ao lado enquanto comemos. Expérience à ne pas rater!! Incontournable! Voltaremos com certeza!","Belo Horizonte, MG"
