restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,faixa_preco,latitude,longitude,fonte
5705103,Diamantes Lanches,"Largo D Joao, 92 D Joao, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,2,indef,-18.246509552001953,-43.60224151611328,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5705103-Reviews-Diamantes_Lanches-Diamantina_State_of_Minas_Gerais.html
5756296,Shop Lanches,"Avenida Francisco Sa 598 Lrg D Joao, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,1,indef,-18.246238708496094,-43.60067367553711,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5756296-Reviews-Shop_Lanches-Diamantina_State_of_Minas_Gerais.html
5686357,Bar Rekint's,"Largo Do Pao De Santo Antonio, 73 Rio Grande, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,1,indef,-18.253864288330078,-43.68077850341797,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5686357-Reviews-Bar_Rekint_s-Diamantina_State_of_Minas_Gerais.html
4858736,Cantina Goreco,"Rua Rio Grande, 466 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,1,indef,-18.239904403686523,-43.59492111206055,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d4858736-Reviews-Cantina_Goreco-Diamantina_State_of_Minas_Gerais.html
5336210,Hotel e Restaurante Jequitibar,"Rua Jose Anacleto Alves 300 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,4.0,1,indef,-18.238494873046875,-43.626365661621094,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5336210-Reviews-Hotel_e_Restaurante_Jequitibar-Diamantina_State_of_Minas_Gerais.html
5700003,Cesar Bar,"Rua da Liberdade 12 Vl Operaria, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,3.0,1,indef,-18.244840621948242,-43.6053581237793,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5700003-Reviews-Cesar_Bar-Diamantina_State_of_Minas_Gerais.html
5761581,Super Lanches,"Avenida Silvio Felicio dos Santos 72 Bom Jesus, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,3.0,1,indef,-18.246667861938477,-43.60244369506836,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5761581-Reviews-Super_Lanches-Diamantina_State_of_Minas_Gerais.html
5868800,Mek Gula Lanches e Cia,"Praca Antonio Eulalio, 4 Centro, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,3.0,2,indef,-18.23825454711914,-43.595558166503906,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5868800-Reviews-Mek_Gula_Lanches_e_Cia-Diamantina_State_of_Minas_Gerais.html
4523798,Restaurante Ibrain,"Pc Sagrado Coração Jesus, 13 Centro, Diamantina, Minas Gerais Brasil",Diamantina ,3.0,1,indef,-18.247325897216797,-43.600868225097656,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d4523798-Reviews-Restaurante_Ibrain-Diamantina_State_of_Minas_Gerais.html
5744188,Pastelaria Pais & Filhos,"Avenida Francisco Sa 598 Lrg D Joao, Diamantina, Minas Gerais 39100-000 Brasil",Diamantina ,3.0,3,indef,-18.246238708496094,-43.60067367553711,https://www.tripadvisor.com.br/Restaurant_Review-g303380-d5744188-Reviews-Pastelaria_Pais_Filhos-Diamantina_State_of_Minas_Gerais.html
