atracao_id,nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
187676,"Museu de História Natural - Londres","Cromwell Road South Kensington, Londres SW7 5BD Inglaterra",Londres,4.5,36895,51.4963264465332,-0.17636899650096893,https://www.tripadvisor.com.br/Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html
2042417,"Natural History Museum at Tring","Akeman Street, Tring HP23 6AP Inglaterra",Tring,4.5,915,51.7908821105957,-0.6612750291824341,https://www.tripadvisor.com.br/Attraction_Review-g503883-d2042417-Reviews-Natural_History_Museum_at_Tring-Tring_Hertfordshire_England.html
3317686,"Royal Armouries - Fort Nelson - Portsmouth","Portsdown Hill Road Fareham, Portsmouth PO17 6AN Inglaterra",Portsmouth,4.5,1317,50.85982131958008,-1.1378099918365479,https://www.tripadvisor.com.br/Attraction_Review-g186298-d3317686-Reviews-Royal_Armouries_Fort_Nelson-Portsmouth_Hampshire_England.html
189274,"Royal Armouries Museum - Leeds","Armouries Drive, Leeds LS10 1LT Inglaterra",Leeds,4.5,4539,53.791751861572266,-1.5324360132217407,https://www.tripadvisor.com.br/Attraction_Review-g186411-d189274-Reviews-Royal_Armouries_Museum-Leeds_West_Yorkshire_England.html
187547,"Torre de Londres","St Katharine's & Wapping, Londres EC3N 4AB Inglaterra",Londres,4.5,65533,51.508026123046875,-0.07607299834489822,https://www.tripadvisor.com.br/Attraction_Review-g186338-d187547-Reviews-Tower_of_London-London_England.html
3494042,"V&A Museum of Childhood - Londres","Cambridge Heath Road, Londres E2 9PA Inglaterra",Londres,4.0,847,51.529090881347656,-0.054993998259305954,https://www.tripadvisor.com.br/Attraction_Review-g186338-d3494042-Reviews-V_A_Museum_of_Childhood-London_England.html
187556,"Museu Victoria e Albert - Londres","Cromwell Road, Londres SW7 2RL Inglaterra",Londres,4.5,31959,51.49657440185547,-0.1723800003528595,https://www.tripadvisor.com.br/Attraction_Review-g186338-d187556-Reviews-V_A_Victoria_and_Albert_Museum-London_England.html
194299,"Churchill War Rooms - Londres","King Charles Street, Clive Steps Westminster, Londres SW1A 2AQ Inglaterra",Londres,4.5,22928,51.50223159790039,-0.129271000623703,https://www.tripadvisor.com.br/Attraction_Review-g186338-d194299-Reviews-Churchill_War_Rooms-London_England.html
187551,"HMS Belfast - Londres","The Queen's Walk, Londres SE1 2JH Inglaterra",Londres,4.5,3807,51.50657653808594,-0.08137699961662292,https://www.tripadvisor.com.br/Attraction_Review-g186338-d187551-Reviews-HMS_Belfast-London_England.html
187674,"Imperial War Museums - Londres","Lambeth Road, Londres SE1 6HZ Inglaterra",Londres,4.5,10440,51.495914459228516,-0.10874799638986588,https://www.tripadvisor.com.br/Attraction_Review-g186338-d187674-Reviews-Imperial_War_Museum-London_England.html
254529,"Imperial War Museum North - Stretford","Trafford Wharf Road The Quays, Stretford M17 1TZ Inglaterra",Stretford,4.5,2791,53.469783782958984,-2.298978090286255,https://www.tripadvisor.com.br/Attraction_Review-g2433765-d254529-Reviews-Imperial_War_Museum_North-Stretford_Trafford_Greater_Manchester_England.html
1765436,"Locomotion - County Durham","Locomotion Shildon, DL4 2RE Inglaterra",County Durham,4.5,1121,54.624263763427734,-1.6309609413146973,https://www.tripadvisor.com.br/Attraction_Review-g4409198-d1765436-Reviews-Locomotion_The_National_Railway_Museum_at_Shildon-Shildon_Bishop_Auckland_County.html
212251,"Science and Industry Museum - Manchester","Liverpool Road Castlefield, Manchester M3 4FP Inglaterra",Manchester,4.5,8056,53.477081298828125,-2.254905939102173,https://www.tripadvisor.com.br/Attraction_Review-g187069-d212251-Reviews-Museum_of_Science_Industry-Manchester_Greater_Manchester_England.html
211773,"National Science and Media Museum - Bradford","Pictureville, Bradford BD1 1NQ Inglaterra",Bradford,4.5,1498,53.790611267089844,-1.7559410333633423,https://www.tripadvisor.com.br/Attraction_Review-g186408-d211773-Reviews-National_Science_and_Media_Museum-Bradford_West_Yorkshire_England.html
207903,"Museu Ferroviário Nacional - York","Leeman Road, York YO26 4XJ Inglaterra",York,4.5,18226,53.960548400878906,-1.09627103805542,https://www.tripadvisor.com.br/Attraction_Review-g186346-d207903-Reviews-National_Railway_Museum-York_North_Yorkshire_England.html
